Iteration,Metric,Avg
0,Susceptible,0.8664000000000001
0,Infected,0.09360000000000002
0,Recovered_Immune,0.04
0,Death,0.0
0,Asymptomatic,0.9992
0,Hospitalization,0.0008
0,Severe,0.0
1,Susceptible,0.8567999999999999
1,Infected,0.1032
1,Recovered_Immune,0.04
1,Death,0.0
1,Asymptomatic,0.9992
1,Hospitalization,0.0008
1,Severe,0.0
2,Susceptible,0.8472
2,Infected,0.11280000000000001
2,Recovered_Immune,0.04
2,Death,0.0
2,Asymptomatic,0.9960000000000001
2,Hospitalization,0.004
2,Severe,0.0
3,Susceptible,0.8384
3,Infected,0.1216
3,Recovered_Immune,0.04
3,Death,0.0
3,Asymptomatic,0.9952000000000001
3,Hospitalization,0.0048000000000000004
3,Severe,0.0
4,Susceptible,0.8224000000000001
4,Infected,0.13760000000000003
4,Recovered_Immune,0.04
4,Death,0.0
4,Asymptomatic,0.9928
4,Hospitalization,0.0064
4,Severe,0.0008
5,Susceptible,0.8143999999999998
5,Infected,0.1448
5,Recovered_Immune,0.04
5,Death,0.0008
5,Asymptomatic,0.9911999999999999
5,Hospitalization,0.0072
5,Severe,0.0008
6,Susceptible,0.8016
6,Infected,0.15760000000000002
6,Recovered_Immune,0.04
6,Death,0.0008
6,Asymptomatic,0.988
6,Hospitalization,0.009600000000000001
6,Severe,0.0016
7,Susceptible,0.7872
7,Infected,0.172
7,Recovered_Immune,0.04
7,Death,0.0008
7,Asymptomatic,0.9856
7,Hospitalization,0.012
7,Severe,0.0016
8,Susceptible,0.7712
8,Infected,0.18719999999999998
8,Recovered_Immune,0.04
8,Death,0.0016
8,Asymptomatic,0.9823999999999999
8,Hospitalization,0.013600000000000001
8,Severe,0.0024
9,Susceptible,0.7592
9,Infected,0.19920000000000002
9,Recovered_Immune,0.04
9,Death,0.0016
9,Asymptomatic,0.9791999999999998
9,Hospitalization,0.0168
9,Severe,0.0024
10,Susceptible,0.7408
10,Infected,0.2152
10,Recovered_Immune,0.04
10,Death,0.004
10,Asymptomatic,0.9768000000000001
10,Hospitalization,0.016
10,Severe,0.0032
11,Susceptible,0.7240000000000001
11,Infected,0.23199999999999998
11,Recovered_Immune,0.04
11,Death,0.004
11,Asymptomatic,0.976
11,Hospitalization,0.016
11,Severe,0.004
12,Susceptible,0.7103999999999999
12,Infected,0.24559999999999998
12,Recovered_Immune,0.04
12,Death,0.004
12,Asymptomatic,0.9743999999999999
12,Hospitalization,0.016800000000000002
12,Severe,0.0048
13,Susceptible,0.6991999999999998
13,Infected,0.25520000000000004
13,Recovered_Immune,0.04
13,Death,0.005600000000000001
13,Asymptomatic,0.972
13,Hospitalization,0.016800000000000002
13,Severe,0.005600000000000001
14,Susceptible,0.6864
14,Infected,0.268
14,Recovered_Immune,0.04
14,Death,0.005600000000000001
14,Asymptomatic,0.9687999999999998
14,Hospitalization,0.019200000000000002
14,Severe,0.0064
15,Susceptible,0.6712
15,Infected,0.2816
15,Recovered_Immune,0.04
15,Death,0.007200000000000001
15,Asymptomatic,0.964
15,Hospitalization,0.022400000000000003
15,Severe,0.0064
16,Susceptible,0.6528
16,Infected,0.29919999999999997
16,Recovered_Immune,0.04
16,Death,0.008
16,Asymptomatic,0.9632
16,Hospitalization,0.022399999999999996
16,Severe,0.0064
17,Susceptible,0.6311999999999999
17,Infected,0.3208
17,Recovered_Immune,0.04
17,Death,0.008
17,Asymptomatic,0.9616
17,Hospitalization,0.022399999999999996
17,Severe,0.008
18,Susceptible,0.6192
18,Infected,0.33120000000000005
18,Recovered_Immune,0.04
18,Death,0.009600000000000001
18,Asymptomatic,0.9576
18,Hospitalization,0.0248
18,Severe,0.008
19,Susceptible,0.6
19,Infected,0.3496
19,Recovered_Immune,0.04
19,Death,0.0104
19,Asymptomatic,0.9544
19,Hospitalization,0.0264
19,Severe,0.0088
20,Susceptible,0.5896
20,Infected,0.28480000000000005
20,Recovered_Immune,0.1152
20,Death,0.0104
20,Asymptomatic,0.9664
20,Hospitalization,0.02
20,Severe,0.0032
21,Susceptible,0.5832
21,Infected,0.2768
21,Recovered_Immune,0.128
21,Death,0.012
21,Asymptomatic,0.9632000000000001
21,Hospitalization,0.0216
21,Severe,0.0032
22,Susceptible,0.5688000000000001
22,Infected,0.2808
22,Recovered_Immune,0.1368
22,Death,0.013600000000000001
22,Asymptomatic,0.9616000000000001
22,Hospitalization,0.0216
22,Severe,0.0032
23,Susceptible,0.5624
23,Infected,0.27759999999999996
23,Recovered_Immune,0.14640000000000003
23,Death,0.013600000000000001
23,Asymptomatic,0.96
23,Hospitalization,0.022400000000000003
23,Severe,0.004
24,Susceptible,0.5488000000000001
24,Infected,0.2792
24,Recovered_Immune,0.1552
24,Death,0.0168
24,Asymptomatic,0.9584
24,Hospitalization,0.0208
24,Severe,0.004
25,Susceptible,0.5384
25,Infected,0.2744
25,Recovered_Immune,0.17040000000000002
25,Death,0.0168
25,Asymptomatic,0.9592
25,Hospitalization,0.0216
25,Severe,0.0024
26,Susceptible,0.5296
26,Infected,0.276
26,Recovered_Immune,0.17679999999999998
26,Death,0.0176
26,Asymptomatic,0.9592
26,Hospitalization,0.0216
26,Severe,0.0016
27,Susceptible,0.5184000000000001
27,Infected,0.2736
27,Recovered_Immune,0.18960000000000002
27,Death,0.0184
27,Asymptomatic,0.9567999999999999
27,Hospitalization,0.023200000000000002
27,Severe,0.0016
28,Susceptible,0.5096
28,Infected,0.2656
28,Recovered_Immune,0.2032
28,Death,0.0216
28,Asymptomatic,0.9576
28,Hospitalization,0.020000000000000004
28,Severe,0.0008
29,Susceptible,0.5024000000000001
29,Infected,0.256
29,Recovered_Immune,0.21760000000000002
29,Death,0.024000000000000004
29,Asymptomatic,0.9551999999999999
29,Hospitalization,0.0192
29,Severe,0.0016
30,Susceptible,0.4936
30,Infected,0.2528
30,Recovered_Immune,0.2296
30,Death,0.024000000000000004
30,Asymptomatic,0.9544
30,Hospitalization,0.019200000000000002
30,Severe,0.0024
31,Susceptible,0.4904
31,Infected,0.2384
31,Recovered_Immune,0.24720000000000003
31,Death,0.024000000000000004
31,Asymptomatic,0.9536
31,Hospitalization,0.019200000000000002
31,Severe,0.0032
32,Susceptible,0.4816
32,Infected,0.23040000000000002
32,Recovered_Immune,0.2632
32,Death,0.0248
32,Asymptomatic,0.9544
32,Hospitalization,0.017599999999999998
32,Severe,0.0032
33,Susceptible,0.47200000000000003
33,Infected,0.2272
33,Recovered_Immune,0.2744
33,Death,0.0264
33,Asymptomatic,0.9544
33,Hospitalization,0.0152
33,Severe,0.004
34,Susceptible,0.4632
34,Infected,0.2256
34,Recovered_Immune,0.28480000000000005
34,Death,0.0264
34,Asymptomatic,0.9560000000000001
34,Hospitalization,0.014400000000000001
34,Severe,0.0032
35,Susceptible,0.45760000000000006
35,Infected,0.21919999999999998
35,Recovered_Immune,0.29600000000000004
35,Death,0.027200000000000002
35,Asymptomatic,0.9568000000000001
35,Hospitalization,0.0128
35,Severe,0.0032
36,Susceptible,0.4488
36,Infected,0.21280000000000004
36,Recovered_Immune,0.31120000000000003
36,Death,0.027200000000000002
36,Asymptomatic,0.956
36,Hospitalization,0.013600000000000001
36,Severe,0.0032
37,Susceptible,0.444
37,Infected,0.2008
37,Recovered_Immune,0.32800000000000007
37,Death,0.027200000000000002
37,Asymptomatic,0.9575999999999999
37,Hospitalization,0.0128
37,Severe,0.0024
38,Susceptible,0.44
38,Infected,0.18560000000000001
38,Recovered_Immune,0.34639999999999993
38,Death,0.028000000000000004
38,Asymptomatic,0.956
38,Hospitalization,0.013600000000000001
38,Severe,0.0024
39,Susceptible,0.4328
39,Infected,0.18159999999999996
39,Recovered_Immune,0.3576
39,Death,0.028000000000000004
39,Asymptomatic,0.956
39,Hospitalization,0.0136
39,Severe,0.0024
40,Susceptible,0.42560000000000003
40,Infected,0.1704
40,Recovered_Immune,0.376
40,Death,0.028000000000000004
40,Asymptomatic,0.9568000000000001
40,Hospitalization,0.011199999999999998
40,Severe,0.004
41,Susceptible,0.4192
41,Infected,0.168
41,Recovered_Immune,0.3848
41,Death,0.028000000000000004
41,Asymptomatic,0.9576
41,Hospitalization,0.011200000000000002
41,Severe,0.0032
42,Susceptible,0.41359999999999997
42,Infected,0.1672
42,Recovered_Immune,0.39120000000000005
42,Death,0.028000000000000004
42,Asymptomatic,0.9584
42,Hospitalization,0.0096
42,Severe,0.004
43,Susceptible,0.41040000000000004
43,Infected,0.15680000000000002
43,Recovered_Immune,0.40480000000000005
43,Death,0.028000000000000004
43,Asymptomatic,0.9592
43,Hospitalization,0.0096
43,Severe,0.0032
44,Susceptible,0.4016
44,Infected,0.1584
44,Recovered_Immune,0.41119999999999995
44,Death,0.0288
44,Asymptomatic,0.9592
44,Hospitalization,0.0088
44,Severe,0.0032
45,Susceptible,0.39840000000000003
45,Infected,0.14800000000000002
45,Recovered_Immune,0.42480000000000007
45,Death,0.0288
45,Asymptomatic,0.96
45,Hospitalization,0.0096
45,Severe,0.0016
46,Susceptible,0.39280000000000004
46,Infected,0.1432
46,Recovered_Immune,0.4352
46,Death,0.0288
46,Asymptomatic,0.9624000000000001
46,Hospitalization,0.0072
46,Severe,0.0016
47,Susceptible,0.3912
47,Infected,0.13440000000000002
47,Recovered_Immune,0.44400000000000006
47,Death,0.0304
47,Asymptomatic,0.96
47,Hospitalization,0.0064
47,Severe,0.0032
48,Susceptible,0.3863999999999999
48,Infected,0.128
48,Recovered_Immune,0.45520000000000005
48,Death,0.0304
48,Asymptomatic,0.9608
48,Hospitalization,0.0064
48,Severe,0.0024
49,Susceptible,0.3832
49,Infected,0.1232
49,Recovered_Immune,0.46240000000000003
